Tweet ID,Text
1482616185954914304,"RT @DeathNote_Token: #DEATHNOTE ASK ME ANYTHING🍎 

Thank you to everyone that tuned in for the AMA within our official @telegram

Topics co…"
1482616185606840321,"RT @AbdulkerimSma: Günaydın☀️ Çare var sizlerle Rahat Nefes alacağım yeterki görmezden gelmeyin
Bir Rt Bir SMS ile destek olurmusunuz🤲
1732…"
1482616185271496711,"RT @Vasel_Inu: $VINU marching *smoothly* to one billion marketcap on day one. All according to plan.

https://t.co/w0XeV9ciuL

https://t.co…"
1482616178115854337,"RT @M_Ernest_: #BTC. Options.
During this month the max-pain has trended lower along with market sentiment. But this is changing... In rece…"
1482616178111623169,RT @coinok: 1 BTC Price: Bitstamp 42353.64 USD #BTC #Bitcoin 2022-01-14 09:15 https://t.co/h1CJggEq14
1482616174621822979,"RT @RicardoArmijoG: 📊 Hey guys Do you have enough stable coins to move into crypto?

Shillme your unique token 💸🪙🪙🪙🪙🪙🪙🪙🪙🪙🪙🪙🪙🪙🪙🪙🪙

#Crypto #…"
1482616173950865410,RT @KriptoyilmazG: 2 gün önce yaptığım eklemelerden bu yana %20 lik bir kar oranı oluştu ancak satış gerçekleştirmiyorum. Bu birimler hak e…
1482616173762170881,"Binance CEO’s net worth hits $96B, Jack Dorsey launches BTC defense fund, Bill Miller apes into Bitcoin: Hodler’s Digest, Jan. 9-15 #cryptotrading #cryptocurrencies #cryptocurrencynews https://t.co/N2FRZ9C2aH"
1482616172352872448,"RT @DiaboloTrading: 🔔Suite à l'investissement colossal de @Tesla dans le Bitcoin (BTC), Le géant des réseaux sociaux @Twitter réfléchit trè…"
Tweet ID,Text
1482616827343777799,RT @forgeforth_: @BobLoukas I remember you speculated about possibility of early blow-off top scenario in next 4-yr cycle followed by longe…
1482616827322810369,"@rjsoltan @CoinCornerMolly #BTC = #Bitcoin 
#Crypto = #AltCoin"
1482616824990769155,@BTC_Archive Thought that was jozi for a sec😂
1482616820754522112,"RT @MorganTBennett: 9 out of 10 people holding #bitcoin still have NO IDEA that $btc security is continuously weakening.

""Yea I heard that…"
1482616819659780100,"@ThankeFrode @CryoLife2032 @elonmusk https://t.co/BjvuhtkeeJ free 100 trx 

#ada #BTC #Ethereum #ShibaCoin #dogecoin #xrp #xlm #avax #Binance #gala #Solana #DOT #slp #Solana #Crypto #1inch #CoinMarketCap #blockchain #ETH #dolar #Try #money #Mining #PolkaDot #XRP....."
1482616818170793984,@NekozTek @Btc_grinder @trader1sz @cryptobulma Lmao 😂
1482616817415819267,"RT @Charles61236637: @WatcherGuru REVOLOTTO the most fascinating feature of the project is Coin Circulation Cycles, which is the main stepp…"
1482616816899919875,"@elonmusk @elonmusk
Dear elon
It is unlikely that you are only interested in different types of dogs
Pay attention to the birds with their favorite songs
Because the world needs peace in addition to support.
Do you not agree with me?
#BlueSparrowCommunity
#BlueSparrowtoken
#BTC
#eth
#coin https://t.co/0ursns7dEc"
1482616816581050373,RT @Rashkagauri: #बेरोज़गार सिर्फ #राजस्थान में ही नही है #उत्तर_प्रदेश में भी भरपूर है #BTC_TET_शिक्षक_भर्ती की मांग को लेकर युवाओं ने कि…
1482616814815297536,"RT @WandaMary13: Giving away 10 $strong tokens to 10 different people.

To Enter:

-Follow @croloapp
-Retweet 
-Like
-Open DMs

$btc $eth $…"
Tweet ID,Text
1482617436474339329,"RT @GSiragoCrypto: Show me NFT Projects here below. Which one should I buy? 💎
#NFTCommunity #OpenSeaNFT #NFTGaming #NFTGame #NFTshill #NFT…"
1482617431625543682,"RT @fantastic2geda: @BTC_Archive @100trillionUSD 🔥Most desired Mystery Game is launching🔥

Legends of Aragon game is a Fantasy Dragon world…"
1482617428916031490,"@_Checkmatey_ @DylanLeClair_ @Bquittem Great points. the fact is that all the conditions fro a 100k bitcoin were here, just the retail+capital went to alts, not to btc...we need to face that fact."
1482617427888607235,"RT @GSiragoCrypto: Show me NFT Projects here below. Which one should I buy? 💎
#NFTCommunity #OpenSeaNFT #NFTGaming #NFTGame #NFTshill #NFT…"
1482617426160271362,"RT @AgeingTrex: At this time, few people are noticing the upside potential of $kava.

$SOL $ETH $MATIC $BNB $LUNA $HT $AVAX $KAVA $STX $NEO…"
1482617423534518275,https://t.co/R93jSww7pI #dragonball #dragonballz #dragonballsuper #vegeta #goku #gohan #dbz #saiyan #supersaiyan #anime #sketch #dccomics #btc #bitcoin #gym #finalfantasy #demonslayer #onepiece 2022-01-16 07:35:14.027279
1482617423446810625,"RT @NARAKATHEGAME: Newsflash! You can buy #NARAKABLADEPOINT with #BTC #BNB #AXS!
 
 GIVEAWAY!
 Together with @Binance, 20 winners get $50 U…"
1482617421152333828,"@elonmusk @elonmusk
Dear elon
It is unlikely that you are only interested in different types of dogs
Pay attention to the birds with their favorite songs
Because the world needs peace in addition to support.
Do you not agree with me?
#BlueSparrowCommunity
#BlueSparrowtoken
#BTC
#eth
#coin https://t.co/jq38psogTv"
1482617416588746752,"RT @yg71871861: AirCash will completely change the rules of the game in the centralized OTC trading payment world! 
#BTC
#ETH
#crypto
#Meta…"
1482617415314059265,"RT @GSiragoCrypto: Show me NFT Projects here below. Which one should I buy? 💎
#NFTCommunity #OpenSeaNFT #NFTGaming #NFTGame #NFTshill #NFT…"
Tweet ID,Text
1482617779287052288,RT @ZiliusMindaugas: @NischalShetty $Flux #Flux  #web3 #web30 #DeFi #POuW #FluxOS #NVIDIA #ToTheMoon #Gems #Nodes #crypto #altcoin #decentr…
1482617777982607363,RT @cspratt15139: $rly Letssss gooooo #buythedip $btc $eth $xrp $doge $icp $ect $snx $sol $mln $nkn $storj $fil $mana $enj $ogn $bal $nmr $…
1482617777706119171,"RT @kync_slymn: 🚀 In Turkey 🚀

   🔥 @BabyDogeCoin  🔥

#BabyDoge #BabyDogeArmy #babydoge_cz_binance #nisa #sezenaksuhaddinibil #dogecoin #do…"
1482617775151620097,"RT @kenoshaking: #BTC: That's a massive spike in open interest today, combined with still positive derivatives premium. Neither premium nor…"
1482617774853996544,Bye bye #btc maxi @nic__carter https://t.co/9AT52vVKJe
1482617771754422272,"@TheCryptoLark @WilderWorld @highstreetworld @solice_io @efinityio @BreederDao @JanuarDark LJ Funky collection
Medium
https://t.co/XbtlIoCF1x
Can be viewed and purchased here
https://t.co/8u1Cwkk2dN

#NFTs #opensea #Polygon
#BTC #Ethereum #cryptocurrency  #Crypto #NFT #ljfunky #NFTCollection  #nftcollector #NFTcollectibles"
1482617769438810113,"RT @AirCoin5: AirCash will completely change the rules of the game in the centralized OTC trading payment world! 
#BTC
#ETH
#crypto
#Metave…"
1482617765022289925,RT @MYTEAMTRADE2147: #BTC 63560 vurursa oradan 59540 a inerse ve tekrar ath yaparsa tobo yapar Mumlara göre anlayacamiz 58 de mum kapatırsa…
1482617761742438405,"@soladefy @Tolulopenoch  @__Dee1_ @henrychinyeaaka 
I love the approach of this team towards this project 
#SolaDefy #Solana #SolanaAirdrop #Airdrops #IDO #Launchpad $SLD $SOLD
#Blockchain #SolanaProject #tothemoon #EAP #Binance #SOL #BTC #ETH #Airdropalert
#BlackFriday"
1482617760488525824,"RT @JeremyCrypt0: The next 💎 GEM x100 is?? 👀

#BNB #USDT #doge #Bitcoin #Cardano #NFT  #cryptocurrency #altcoins #Binance   #ETH #Solana …"
Tweet ID,Text
1482617963245187072,"@Alhalal_Rt يالله ي جمهور الهلال ابي اقوئ دعم
تابعوني اتابعكم فورا 🆕
🎮 أفضل الألعاب عالمياً في عالم العملات الرقميه
💱📌 لعبه rollercoin 🎮
#BTC
#BNB
#Binance #Bitcoin 

https://t.co/MNJbClLE2b"
1482617962964172801,"RT @BTCompanyNFT: #Concours Tentez de gagner ce NFT BORED APE !
D’une valeur de 0,012 BTC (bitcoin soit 500$) 

Pour participer : RT + Foll…"
1482617962276216832,"RT @uniswapfinance: 🚀 70,95 ⬆️😎

#UniswapFinance #unfi #Unif #Token #cryptocurrency #Binance #Bitcoin #Ethereum #BNB #BTC #ETH #Crypto #Coi…"
1482617961902923777,RT @Dbee_ii: Anyone selling BTC.....Tap in with your rate let me buy ASAP🙏
1482617961513123847,"RT @JeremyCrypt0: The next 💎 GEM x100 is?? 👀

#BNB #USDT #doge #Bitcoin #Cardano #NFT  #cryptocurrency #altcoins #Binance   #ETH #Solana …"
1482617959889743872,"RT @Ekoanalizz: Hertürlü kar alırız diyorsun bereketini gör dayı 💴💸  

#btc #binance #chr"
1482617959877156867,"RT @cryptoWZRD_: Daily Technical Outlook:
$BTC closed as a doji today although we had bullish pressure during most of the day. A breakout o…"
1482617959549849600,"RT @ifyouneedmeida1: จะเตือนว่าถ้าตลาดหมีมาถึง
เหรียญที่จะคงอยู่ไม่สูญมูลค่าคือ #BTC เหรียญเล็กๆอื่น #ALT ต่างๆ
ระวังจะดับสูญเป็นหลายๆปีไปเ…"
1482617959080247298,"@Cameronfous all coins will fall, BTC will be gold"
1482617952856080387,"RT @_bitcoiner: reply with a lightning address and i'll send 101 sats to it 👇👇👇

▹ no invoice or qr code, but 𝘢𝘥𝘥𝘳𝘦𝘴𝘴 .. example: meowtc@bi…"
Tweet ID,Text
Tweet ID,Text
1482618235724120071,"RT @MisakiSumeragi: 仮想通貨の歴史と今後

2018年はICO元年
2019年はIEO元年
2020年はDeFi元年
2021年はNFT元年
2022年はクロスチェーン元年
2023年はメタバース元年
2024年は再び仮想通貨バブル
2025年はBTC採用国…"
1482618230703542274,https://t.co/TrIWjX68QL #Remitano #btc #Bitcoin
1482618225099685893,"RT @meriyansamuraii: I’m not good at painting but I can sculpt my life.

https://t.co/Pg9DCCALmc
https://t.co/4jObjk2Mwj

@WolfofCryptoBLV…"
1482618222843408387,"RT @whale_alert: 🚔  A payment of 26 #BTC (1,124,191 USD) was just made to a confirmed Michael Saylor Giveaway scam!

https://t.co/YNYRBLBt4P"
1482618219936751622,"RT @DeathNote_Token: #DEATHNOTE TOKEN ( $KIRA ) AMA 🍎

Join the Ask Me Anything ""#AMA"" taking place today within the official Telegram grou…"
1482618219772928002,"RT @N_as786: سنڈے سپشل
@N_as786 ❤️ 
@FK__780 @JGHMA @Lqt786 @AA_MW_ @U_S_A_M_A_1 @j0yia_ @Governor8358621 @DrMAkmalKhan786 @2zohan @Shining…"
1482618219576041476,"RT @Freyglobal: Frey Airdrop is live! 🚀🚀
Be among the Lucky 10,000 user to get this huge Airdrop.

Click this bot to start: https://t.co/Sb…"
1482618219395694592,"RT @CryptoAlcoholi: 🚀 VırtualReality 🚀

🚨 A METAVERSE Project ‼️ 

✅ Liquidity:Locked 🔐

✅ CMC and Coingecko Application submitted 💰

🌎 Web…"
1482618218821066754,"@porucoin @tomo15726768 @JanuarDark LJ Funky collection
Medium
https://t.co/XbtlIoCF1x
Can be viewed and purchased here
https://t.co/8u1Cwkk2dN

#NFTs #opensea #Polygon
#BTC #Ethereum #cryptocurrency  #Crypto #NFT #ljfunky #NFTCollection  #nftcollector #NFTcollectibles"
1482618218619584515,"RT @Nute__Gunray: @Crypto__emily The revolution comes from the #DogeCola drink, a physical product united with the crypto world, #DogeCola…"
Tweet ID,Text,Likes
1482618408164368386,"RT @WClementeIII: 17.5% of BTC's money supply has moved above the $1T market cap threshold.  

#Bitcoin is here to stay.",0
1482618407145066499,"#BTC #Bitcoin #ETH #Ethereum 
Enjoy the ride and #HODL https://t.co/LXc0OGE0jV",0
1482618406885076996,"@WhaleEverything Am more wealthier today because I was patient enough with #goldcoin $GLC. 

https://t.co/H3sX348hmH",0
1482618404796260353,$BTC closes at 45k today over the EMA line . https://t.co/48nHd2bYyu,0
1482618400358961154,"RT @DeathNote_Token: #DEATHNOTE ASK ME ANYTHING🍎 

Thank you to everyone that tuned in for the AMA within our official @telegram

Topics co…",0
1482618398366441479,"@tim1546 @Convertbond @Fxhedgers If the BTC Bond works, Bitcoin enthusiasts will have been the suckers in Bukele's Ponzi, because their funds will be used to payoff the existing bonds that El Salvador currently risks defaulting on. 

The Bitcoiners will never get their money back.",0
1482618393186295808,"RT @chirorudotaka: おはようGOざいます☀️
みんなぁ仮想通貨で取引😁
Bybit 始めてみない？😁
価格が下がっても資産が増える
FXが出来てチャンスあります🎵
キャンペーン続々ありお得です🉐
#BTC
#Bitcoin
招待コード👉️30120
口座開設リ…",0
1482618390921367552,"RT @samaxe777: $KLEE has doxxed devs ✅, burned liquidity ✅, play to earn LIVE on @GooglePlay allowing up to $8 USD for players ✅, starting…",0
1482618390397210628,RT @MYTEAMTRADE2147: #REEF BTC toplama fiyatları analizde bellidir. Dileyen analize göre toplama yapabilir ytd https://t.co/hj9AIciUrs,0
1482618387193032706,"RT @KyuubiKurama7: Kyuubi Kurama 🦊 #giveaway 1,000,000,000 $KYB 🔥🔥

🎁Follow +Retweet +comment BSC : @KyuubiKurama7

#KYB #KRM #BTC #BNB #BS…",0
